;CEP;Estabelecimento;Existentes;em Uso;SUS;endereco;latitude;longitude;Ponto
0;1509001;A C CAMARGO CANCER CENTER;2;2;S;;-23.56805;-46.6349954;
1;41830391;A MEDICINA DIAGNOSTICA E DIAGNOSON;1;1;S;;-13.0019043;-38.4583694;
2;22440032;ALTA LEBLON DIAGNOSTICOS;1;1;N;;-22.9844555;-43.2234925;
3;30380490;ASSOCIACAO MARIO PENNA;1;1;S;;-19.9464464;-43.9522037;
4;nan;-22.807426, -47.064190;1;1;S;;-22.80747;-47.06462 ;"geometry  \
0  POINT (-47.06462 -22.80747)   

                                             address  
0  Estação Boldrini, Rua Doutor Gabriel Porto, Ba..."
5;1321001;BP MIRANTE;2;2;S;;-23.5606586;-46.6413602;
6;22271080;CASA DE SAUDE SAO JOSE;1;1;N;;-22.9577175;-43.1991088;
7;4104000;CEDIMEN FILIAL I;1;1;N;;-23.5766026;-46.6400273;
8;55014000;CEDOC;1;1;S;;-8.2737826;-35.9740852;
9;nan;-11.856283, -55.510433;1;1;S;;-11.85602;-55.51052;"geometry  \
0  POINT (-55.51052 -11.85602)   

                                             address  
0  Avenida das Itaúbas, Sinop, Microrregião de Si..."
10;22020001;CENRO DE MEDICINA NUCLEAR DA GUANABARA COPACABANA;1;1;N;;-22.9640967;-43.1743743;
11;74210260;CENTRO DE DIAGNOSTICOS UNIMED;1;1;N;;-16.6955972;-49.2830316;
12;18035360;CENTRO MEDICO FILIAL SOROCABA;1;1;S;;-23.5046084;-47.4615206;
13;80240160;CETAC;2;2;S;;-25.4432758;-49.2874923;
14;nan;-15.826754, -47.926962;1;1;N;;-15.82684;-47.92663;"geometry  \
0  POINT (-47.92663 -15.82684)   

                                             address  
0  SHIGS Quadra 715 H/I, SQS 315, Brasília, Plano..."
15;69057015;CLINICA DE IMAGEM MOLECULAR DO AMAZONAS;1;1;S;;-3.0991046;-60.0096815;
16;20031141;CLINICA DE MEDICINA NUCLEAR VILLELA PEDRAS;1;1;N;;-22.9077575;-43.1756637;
17;20031141;CLINICA MEDICA DR GIBRAN;1;1;N;;-22.9077575;-43.1756637;
18;nan;-15.825829, -47.930194;1;1;N;; -15.82571;-47.93045;"geometry  \
0  POINT (-47.93045 -15.82571)   

                                             address  
0  Clínica Villas Boas, SHLS, SQS 316, Brasília, ..."
19;88811201;CLINIPETSCAN DIAGNOSTICO POR IMAGEM LTDA;1;1;N;;-28.67221;-49.3614457;
20;49026240;CLINRADI IMAGEM;1;1;S;;-10.9490549;-37.0633899;
21;88354040;CONSULTORIO MEDICO LUCAS PENSIN;1;1;N;;-27.1047819;-48.9233783;
22;89874000;CONSULTORIO ODONTOLOGICO ELIANA MARIA SIMIONATO;1;1;S;;-26.7623898;-53.1747387;
23;nan;-22.224956, -45.931727;1;1;S;;-22.22509;-45.93163;"geometry  \
0  POINT (-45.93163 -22.22509)   

                                             address  
0  Rua Celene de Paula Costa, Guanabara, Quadrant..."
24;20511000;DASA CDPI SHOPPING TIJUCA;1;1;N;;-22.9204045;-43.2350669;
25;79021300;DI IMAGEM I UNIDADE DE ULTRASSONOGRAFIA LTDA;1;1;N;;-20.4582774;-54.5855527;
26;58040340;DIAGNOSTICA;1;1;S;;-7.1255035;-34.8710923;
27;4014011;DIMEN SAO PAULO;1;1;S;;-23.5840965;-46.6423997;
28;88370438;FISIOTERAPIA E ORTOPEDIA NAVEGANTES;2;2;N;;-26.9019526;-48.6463492;
29;1333010;FLEURY MEDICINA E SAUDE UNIDADE PARAISO;1;1;N;;-23.5702059;-46.6438173;
30;49010340;FUNDACAO CLIMEDI;1;1;S;;-10.9184965;-37.056193;
31;58015170;FUNDACAO NAPOLEAO LAUREANO;1;1;S;;-7.1302083;-34.8726305;
32;14780070;FUNDACAO PIO XII BARRETOS;1;1;S;;-20.3200105;-48.3159144;
