id,cidade,estado,sigla,codigo,gentilico,latitude,longitude,populacao,area,densidade
813,Aracruz,Espírito Santo,ES,3200607,aracruzense,-19.8205316,-40.2768213,101220,1420.29,71.3
820,Cachoeiro de Itapemirim,Espírito Santo,ES,3201209,cachoeirense,-20.8467047,-41.1202199,208972,864.58,241.7
821,Cariacica,Espírito Santo,ES,3201308,cariaciquense,-20.2642764,-40.420365,381285,279.72,1363.1
823,Colatina,Espírito Santo,ES,3201506,colatinense,-19.5262632,-40.6351179,122499,1398.22,87.6
833,Guarapari,Espírito Santo,ES,3202405,guarapariense,-20.6741197,-40.4997382,124859,589.83,211.7
847,Linhares,Espírito Santo,ES,3203205,linharense,-19.3946651,-40.0652641,173555,3496.26,49.6
857,Nova Venécia,Espírito Santo,ES,3203908,veneciano,-18.7074851,-40.3955859,50110,1439.57,34.8
872,São Mateus,Espírito Santo,ES,3204906,mateense,-18.7190705,-39.856734,130611,2346.05,55.7
874,Serra,Espírito Santo,ES,3205002,serrano,-20.1215224,-40.3077898,517510,547.63,945.0
878,Viana,Espírito Santo,ES,3205101,vianense,-20.3646691,-40.4274631,78239,312.28,250.5
881,Vila Velha,Espírito Santo,ES,3205200,vila-velhense,-20.3477821,-40.2949528,493838,210.23,2349.1
882,Vitória,Espírito Santo,ES,3205309,capixaba,-20.2976178,-40.2957768,362097,97.12,3728.2
1361,Alfenas,Minas Gerais,MG,3101607,alfenense,-21.4261129,-45.9481612,79996,850.45,94.1
1383,Araguari,Minas Gerais,MG,3103504,araguarino,-18.6460396,-48.1938367,117267,2729.51,43.0
1389,Araxá,Minas Gerais,MG,3104007,araxaense,-19.5906483,-46.9442412,106229,1164.06,91.3
1406,Barbacena,Minas Gerais,MG,3105608,barbacenense,-21.2219344,-43.7706811,137313,759.19,180.9
1417,Betim,Minas Gerais,MG,3106705,betinense,-19.9673078,-44.2011904,439340,343.86,1277.7
1424,Bom Despacho,Minas Gerais,MG,3107406,bom-despachense,-19.7405507,-45.2541849,50605,1213.55,41.7
1468,Campo Belo,Minas Gerais,MG,3111200,campo-belense,-20.8938356,-45.2721363,54029,528.23,102.3
1492,Caratinga,Minas Gerais,MG,3113404,caratinguense,-19.7896943,-42.1415731,92062,1258.48,73.2
1511,Cataguases,Minas Gerais,MG,3115300,cataguasense,-21.3892337,-42.6945496,75123,491.77,152.8
1545,Congonhas,Minas Gerais,MG,3118007,congonhense,-20.4993469,-43.8613566,54762,304.07,180.1
1548,Conselheiro Lafaiete,Minas Gerais,MG,3118304,lafaietense,-20.6639305,-43.7850227,128589,370.25,347.3
1551,Contagem,Minas Gerais,MG,3118601,contagense,-19.9161508,-44.0808763,663855,195.05,3403.6
1559,Coronel Fabriciano,Minas Gerais,MG,3119401,fabricianense,-19.5189752,-42.6282541,109855,221.25,496.5
1578,Curvelo,Minas Gerais,MG,3120904,curvelano,-18.753199,-44.4306685,80129,3296.2,24.3
1593,Divinópolis,Minas Gerais,MG,3122306,divinopolitano,-20.1451261,-44.8916447,238230,708.12,336.4
1616,Esmeraldas,Minas Gerais,MG,3124104,esmeraldense,-19.7656001,-44.2857937,70552,909.68,77.6
1636,Formiga,Minas Gerais,MG,3126109,formiguense,-20.4623459,-45.4272185,67683,1501.92,45.1
1650,Frutal,Minas Gerais,MG,3127107,frutalense,-20.0264222,-48.9360129,59496,2426.97,24.5
1660,Governador Valadares,Minas Gerais,MG,3127701,valadarense,-18.8549317,-41.9559233,279885,2342.33,119.5
1671,Guaxupé,Minas Gerais,MG,3128709,guaxupeano,-21.3054884,-46.7084932,51917,286.4,181.3
1683,Ibirité,Minas Gerais,MG,3129806,ibiritenense,-20.0256695,-44.0572964,180204,72.57,2483.1
1702,Ipatinga,Minas Gerais,MG,3131307,ipatinguense,-19.4707617,-42.5480125,263410,164.88,1597.5
1706,Itabira,Minas Gerais,MG,3131703,itabirano,-19.6244172,-43.2316363,120060,1253.7,95.8
1708,Itabirito,Minas Gerais,MG,3131901,itabiritense,-20.2530617,-43.8030567,51875,542.61,95.6
1713,Itajubá,Minas Gerais,MG,3132404,itajubense,-22.422971,-45.4602511,96869,294.84,328.6
1728,Itaúna,Minas Gerais,MG,3133808,itaunense,-20.0822785,-44.5805309,93214,495.77,188.0
1732,Ituiutaba,Minas Gerais,MG,3134202,ituiutabano,-18.9745738,-49.4600885,104671,2598.05,40.3
1743,Janaúba,Minas Gerais,MG,3135100,janaubense,-15.8052004,-43.3147032,71648,2181.32,32.8
1744,Januária,Minas Gerais,MG,3135209,januarense,-15.4806094,-44.3642956,67742,6661.59,10.2
1756,João Monlevade,Minas Gerais,MG,3136207,monlevadense,-19.8131282,-43.1738765,79910,99.16,805.9
1764,Juiz de Fora,Minas Gerais,MG,3136702,juiz-forano,-21.7624237,-43.3433999,568873,1435.75,396.2
1770,Lagoa da Prata,Minas Gerais,MG,3137205,lago-pratense,-20.0242053,-45.5405732,52165,439.98,118.6
1775,Lagoa Santa,Minas Gerais,MG,3137601,lagoa-santense,-19.6303019,-43.8983031,64527,229.41,281.3
1781,Lavras,Minas Gerais,MG,3138203,lavrense,-21.2484875,-45.0013747,103773,564.74,183.8
1784,Leopoldina,Minas Gerais,MG,3138401,leopoldinense,-21.5301251,-42.642529,52587,943.08,55.8
1799,Manhuaçu,Minas Gerais,MG,3139409,manhuaçuense,-20.2555875,-42.030947,90229,628.32,143.6
1805,Mariana,Minas Gerais,MG,3140001,marianense,-20.3652719,-43.4150073,60724,1194.21,50.8
1852,Muriaé,Minas Gerais,MG,3143906,muriaense,-21.1291403,-42.3702252,108763,841.69,129.2
1865,Nova Lima,Minas Gerais,MG,3144805,nova-limense,-19.9930478,-43.8485566,94889,429.0,221.2
1870,Nova Serrana,Minas Gerais,MG,3145208,nova-serranense,-19.8717775,-44.9850828,102693,282.47,363.6
1885,Ouro Preto,Minas Gerais,MG,3146107,ouro-pretano,-20.3855743,-43.5035777,74281,1245.87,59.6
1896,Pará de Minas,Minas Gerais,MG,3147105,paraense,-19.8600249,-44.6075839,93969,551.25,170.5
1897,Paracatu,Minas Gerais,MG,3147006,paracatuense,-17.2174522,-46.8711355,93158,8229.59,11.3
1905,Passos,Minas Gerais,MG,3147907,passense,-20.7221434,-46.6133353,114679,1338.07,85.7
1907,Patos de Minas,Minas Gerais,MG,3148004,patense,-18.5872582,-46.5146749,152488,3190.19,47.8
1908,Patrocínio,Minas Gerais,MG,3148103,patrocinense,-18.9383312,-46.9938375,90757,2874.34,31.6
