id,cidade,estado,sigla,codigo,gentilico,latitude,longitude,populacao,area,densidade
3198,Almirante Tamandaré,Paraná,PR,4100400,tamandareense,-25.2985567,-49.3450112,118623,194.74,609.1
3212,Apucarana,Paraná,PR,4101408,apucaranense,-23.5504385,-51.4639716,134996,558.39,241.8
3213,Arapongas,Paraná,PR,4101507,araponguense,-23.4157731,-51.4264048,123027,382.22,321.9
3217,Araucária,Paraná,PR,4101804,araucariano,-25.586431,-49.4052251,143843,469.24,306.5
3247,Cambé,Paraná,PR,4103701,cambeense,-23.277052,-51.2803152,106533,495.38,215.1
3254,Campo Largo,Paraná,PR,4104204,campo-larguense,-25.4596855,-49.5273149,132002,1243.55,106.1
3256,Campo Mourão,Paraná,PR,4104303,campo-mourense,-24.0436553,-52.3781098,94859,749.64,126.5
3264,Cascavel,Paraná,PR,4104808,cascavelense,-24.9578832,-53.459544,328454,2101.07,156.3
3265,Castro,Paraná,PR,4104907,castrense,-24.7902746,-49.7728757,71484,2531.5,28.2
3271,Cianorte,Paraná,PR,4105508,cianortense,-23.6602731,-52.6068646,82620,811.67,101.8
3274,Colombo,Paraná,PR,4105805,colombense,-25.2929388,-49.2266301,243726,197.79,1232.2
3305,Fazenda Rio Grande,Paraná,PR,4107652,fazendense,-25.6628343,-49.3077648,100209,116.68,858.9
3315,Foz do Iguaçu,Paraná,PR,4108304,iguaçuense,-25.5163356,-54.5853764,258532,618.35,418.1
3318,Francisco Beltrão,Paraná,PR,4108403,beltronense,-26.0404504,-53.1749726,91093,735.11,123.9
3331,Guarapuava,Paraná,PR,4109401,guarapuavano,-25.3907214,-51.4628097,181504,3168.09,57.3
3337,Ibiporã,Paraná,PR,4109807,ibiporanense,-23.2664186,-51.0527244,54558,297.74,183.2
3349,Irati,Paraná,PR,4110706,iratiense,-25.4700302,-50.6509459,60727,999.52,60.8
3399,Marechal Cândido Rondon,Paraná,PR,4114609,rondonense,-24.5568725,-54.056788,52944,748.0,70.8
3405,Maringá,Paraná,PR,4115200,maringaense,-23.4209995,-51.9330558,423666,487.01,869.9
3443,Palmas,Paraná,PR,4117602,palmense,-26.4307273,-51.8100218,50986,1557.9,32.7
3449,Paranaguá,Paraná,PR,4118204,parnanguara,-25.5165725,-48.5229975,154936,826.43,187.5
3451,Paranavaí,Paraná,PR,4118402,paranavaiense,-23.0821226,-52.4622155,88374,1202.27,73.5
3453,Pato Branco,Paraná,PR,4118501,pato-branquense,-26.2297202,-52.6711356,82881,539.09,153.7
3461,Pinhais,Paraná,PR,4119152,pinhaense,-25.4434411,-49.1931448,132157,60.87,2171.2
3466,Piraquara,Paraná,PR,4119509,piraquarense,-25.4426635,-49.0628847,113036,227.04,497.9
3471,Ponta Grossa,Paraná,PR,4119905,ponta-grossense,-25.0993621,-50.1584514,351736,2054.73,171.2
3482,Prudentópolis,Paraná,PR,4120606,prudentopolitano,-25.2115687,-50.9758851,52241,2247.14,23.2
3507,Rolândia,Paraná,PR,4122404,rolandense,-23.3105968,-51.366412,66580,459.02,145.0
3546,São José dos Pinhais,Paraná,PR,4125506,são-joseense,-25.5318354,-49.2035722,323340,946.44,341.6
3556,Sarandi,Paraná,PR,4126256,sarandiense,-23.4445928,-51.8765044,96688,103.5,934.2
3569,Telêmaco Borba,Paraná,PR,4127106,telêmaco-borbense,-24.3250032,-50.6180669,78974,1382.86,57.1
3575,Toledo,Paraná,PR,4127700,toledano,-24.7251855,-53.7418514,140635,1196.76,117.5
3583,Umuarama,Paraná,PR,4128104,umuaramense,-23.7661064,-53.3206105,111557,1234.54,90.4
3584,União da Vitória,Paraná,PR,4128203,união-vitoriense,-26.2219963,-51.0850684,57517,720.0,79.9
3925,Alegrete,Rio Grande do Sul,RS,4300406,alegretense,-29.7445673,-55.9358581,73589,7800.16,9.4
3931,Alvorada,Rio Grande do Sul,RS,4300604,alvoradense,-29.991901,-51.0813677,210305,71.6,2937.1
3949,Bagé,Rio Grande do Sul,RS,4301602,bageense,-31.3301746,-54.1004709,121143,4090.36,29.6
3962,Bento Gonçalves,Rio Grande do Sul,RS,4302105,bento-gonçalvense,-29.1667089,-51.5169861,120454,273.96,439.7
3980,Cachoeira do Sul,Rio Grande do Sul,RS,4303004,cachoeirense,-30.0336816,-52.893221,82201,3735.03,22.0
3981,Cachoeirinha,Rio Grande do Sul,RS,4303103,cachoeirinhense,-29.9477228,-51.1021166,130293,43.9,2967.9
3985,Camaquã,Rio Grande do Sul,RS,4303509,camaquense,-30.8493976,-51.8048311,66261,1680.17,39.4
3991,Campo Bom,Rio Grande do Sul,RS,4303905,campo-bonense,-29.6732855,-51.0436295,66712,60.81,1097.0
3998,Canguçu,Rio Grande do Sul,RS,4304507,canguçuense,-31.3964785,-52.6787852,56045,3526.25,15.9
3999,Canoas,Rio Grande do Sul,RS,4304606,canoense,-29.9132584,-51.1861921,346616,130.79,2650.2
4002,Capão da Canoa,Rio Grande do Sul,RS,4304630,caponense,-29.7649764,-50.0289451,53049,98.29,539.7
4009,Carazinho,Rio Grande do Sul,RS,4304705,carazinhense,-28.2963334,-52.793776,62110,665.52,93.3
4044,Cruz Alta,Rio Grande do Sul,RS,4306106,cruzaltense,-28.6454883,-53.605355,60299,1360.32,44.3
4067,Erechim,Rio Grande do Sul,RS,4307005,erechinense,-27.6347754,-52.2740707,105862,429.3,246.6
4075,Estância Velha,Rio Grande do Sul,RS,4307609,estanciense,-29.6540396,-51.1848488,50022,52.13,959.7
4076,Esteio,Rio Grande do Sul,RS,4307708,esteiense,-29.8524975,-51.1845782,83202,27.68,3006.3
4081,Farroupilha,Rio Grande do Sul,RS,4307906,farroupilhense,-29.2231867,-51.3423619,72331,361.73,200.0
4104,Gravataí,Rio Grande do Sul,RS,4309209,gravataiense,-29.942289,-50.9907877,281519,463.17,607.8
4106,Guaíba,Rio Grande do Sul,RS,4309308,guaibense,-30.1090924,-51.3238273,98143,376.17,260.9
4121,Ijuí,Rio Grande do Sul,RS,4310207,ijuiense,-28.3885333,-53.9204851,83475,689.09,121.1
4151,Lajeado,Rio Grande do Sul,RS,4311403,lajeadense,-29.459582,-51.9649421,84014,91.59,917.3
4178,Montenegro,Rio Grande do Sul,RS,4312401,montenegrino,-29.6829126,-51.4684153,65264,424.85,153.6
