id,cidade,estado,sigla,codigo,gentilico,latitude,longitude,populacao,area,densidade
23,Água Branca,Alagoas,AL,2700102,água-branquense,-9.2661404,-37.9148742,20196,468.23,43.1
24,Anadia,Alagoas,AL,2700201,anadiense,-9.6665892,-36.3064595,17545,186.13,94.3
25,Arapiraca,Alagoas,AL,2700300,arapiraquense,-9.755588,-36.6639577,231747,345.66,670.5
26,Atalaia,Alagoas,AL,2700409,atalaiense,-9.5381405,-36.1328132,47185,533.26,88.5
27,Barra de Santo Antônio,Alagoas,AL,2700508,barrense,-9.372019,-35.5548422,15932,131.36,121.3
28,Barra de São Miguel,Alagoas,AL,2700607,barrense,-9.8132217,-35.9478869,8322,74.24,112.1
29,Batalha,Alagoas,AL,2700706,batalhense,-9.71937,-37.0829593,18232,319.04,57.1
30,Belém,Alagoas,AL,2700805,belenense,-9.5417643,-36.4905278,4344,66.66,65.2
31,Belo Monte,Alagoas,AL,2700904,belo-montense,-9.835561,-37.1901616,6704,335.05,20.0
32,Boca da Mata,Alagoas,AL,2701001,matense,-9.6438379,-36.2130918,27281,185.97,146.7
33,Branquinha,Alagoas,AL,2701100,branquinhense,-9.2413271,-36.012381,10494,165.25,63.5
34,Cacimbinhas,Alagoas,AL,2701209,cacimbense,-9.4443986,-36.9111057,10858,273.77,39.7
35,Cajueiro,Alagoas,AL,2701308,cajueirense,-9.367769,-36.1545404,21264,94.36,225.4
36,Campestre,Alagoas,AL,2701357,camprestrense,-8.8866917,-35.5548422,6936,65.91,105.2
37,Campo Alegre,Alagoas,AL,2701407,campo-alegrense,-9.7831304,-36.3507729,57063,312.71,182.5
38,Campo Grande,Alagoas,AL,2701506,campo-grandense,-9.9647781,-36.7604027,9558,169.99,56.2
39,Canapi,Alagoas,AL,2701605,canapiense,-9.1160769,-37.603662,17722,602.78,29.4
40,Capela,Alagoas,AL,2701704,capelense,-9.4106241,-36.0810062,17053,257.56,66.2
41,Carneiros,Alagoas,AL,2701803,carneirense,-9.4708414,-37.3720392,9081,101.85,89.2
42,Chã Preta,Alagoas,AL,2701902,chã-pretense,-9.2410177,-36.2847751,7311,169.46,43.1
43,Coité do Nóia,Alagoas,AL,2702009,coitenense,-9.6325521,-36.580987,10693,88.76,120.5
44,Colônia Leopoldina,Alagoas,AL,2702108,leopoldinense,-8.9137826,-35.7205629,21698,207.89,104.4
45,Coqueiro Seco,Alagoas,AL,2702207,coqueirense,-9.6438854,-35.7952667,5845,39.61,147.6
46,Coruripe,Alagoas,AL,2702306,coruripense,-10.1250022,-36.1761522,56933,897.78,63.4
47,Craíbas,Alagoas,AL,2702355,craibense,-9.6243327,-36.8034921,24219,278.88,86.8
48,Delmiro Gouveia,Alagoas,AL,2702405,delmirense,-9.3859509,-37.998877,52016,626.69,83.0
49,Dois Riachos,Alagoas,AL,2702504,riachense,-9.3707274,-37.0614998,11075,139.85,79.2
50,Estrela de Alagoas,Alagoas,AL,2702553,estrelense,-9.3905138,-36.7599301,18205,260.77,69.8
51,Feira Grande,Alagoas,AL,2702603,feira-grandense,-9.8989058,-36.6768272,22166,178.06,124.5
52,Feliz Deserto,Alagoas,AL,2702702,feliz-desertense,-10.28267,-36.3281377,4754,110.37,43.1
53,Flexeiras,Alagoas,AL,2702801,flexeirense,-9.2750031,-35.7244146,12790,333.05,38.4
54,Girau do Ponciano,Alagoas,AL,2702900,ponciense,-9.8261254,-36.8250274,40917,513.45,79.7
55,Ibateguara,Alagoas,AL,2703007,ibateguarense,-8.9515557,-35.8934136,15616,265.31,58.9
56,Igaci,Alagoas,AL,2703106,igaciense,-9.5287917,-36.6741487,25631,334.34,76.7
57,Igreja Nova,Alagoas,AL,2703205,igreja-novense,-10.1235243,-36.6618049,24499,427.03,57.4
58,Inhapi,Alagoas,AL,2703304,inhapiense,-9.2766863,-37.681228,18385,372.02,49.4
59,Jacaré dos Homens,Alagoas,AL,2703403,jacarezeiro,-9.6555769,-37.2222912,5253,148.99,35.3
60,Jacuípe,Alagoas,AL,2703502,jacuipense,-8.8881214,-35.4562795,7021,208.74,33.6
61,Japaratinga,Alagoas,AL,2703601,japaratinguense,-9.089797,-35.2580917,8361,85.36,98.0
62,Jaramataia,Alagoas,AL,2703700,jaramataiense,-9.6480526,-36.9863415,5770,105.86,54.5
63,Jequiá da Praia,Alagoas,AL,2703759,jequiaenses,-9.8964713,-36.11108,11580,334.57,34.6
64,Joaquim Gomes,Alagoas,AL,2703809,juruquense,-9.0776725,-35.7625241,23993,298.29,80.4
65,Jundiá,Alagoas,AL,2703908,jundiaense,-8.9530184,-35.5438967,4155,88.79,46.8
66,Junqueiro,Alagoas,AL,2704005,junqueirense,-9.853429,-36.4580775,24727,247.72,99.8
67,Lagoa da Canoa,Alagoas,AL,2704104,canoense,-9.8210373,-36.7172882,17852,83.62,213.5
68,Limoeiro de Anadia,Alagoas,AL,2704203,limoeirense,-9.7413641,-36.4580775,28635,309.21,92.6
69,Maceió,Alagoas,AL,2704302,maceioense,-9.6498487,-35.7089492,1018948,509.32,2000.6
70,Major Isidoro,Alagoas,AL,2704401,isidorense,-9.5237236,-37.0185617,19804,448.5,44.2
71,Mar Vermelho,Alagoas,AL,2704906,mar-vermelhense,-9.4803682,-36.3823063,3514,91.74,38.3
72,Maragogi,Alagoas,AL,2704500,maragogiense,-9.0103798,-35.2208051,32704,334.17,97.9
73,Maravilha,Alagoas,AL,2704609,maravilhense,-9.2240646,-37.3613533,9163,332.37,27.6
74,Marechal Deodoro,Alagoas,AL,2704708,deodorense,-9.710143,-35.897056,51901,331.19,156.7
75,Maribondo,Alagoas,AL,2704807,maribondense,-9.5773909,-36.3058392,13264,180.11,73.6
76,Mata Grande,Alagoas,AL,2705002,mata-grandense,-9.1183777,-37.7325064,25216,914.73,27.6
77,Matriz de Camaragibe,Alagoas,AL,2705101,matrizense,-9.0972502,-35.5876697,24642,238.34,103.4
78,Messias,Alagoas,AL,2705200,messiense,-9.3337267,-35.8061779,17856,114.16,156.4
79,Minador do Negrão,Alagoas,AL,2705309,negrense,-9.3228094,-36.8465564,5329,167.46,31.8
80,Monteirópolis,Alagoas,AL,2705408,guaribense,-9.6026724,-37.2758086,7159,86.6,82.7
81,Murici,Alagoas,AL,2705507,muriciense,-9.309531,-35.9420041,28236,418.03,67.5
82,Novo Lino,Alagoas,AL,2705606,novo-linense,-8.9433952,-35.6314191,12690,215.55,58.9
83,Olho d'Água das Flores,Alagoas,AL,2705705,olho-daguense,-9.532208,-37.2947534,21688,191.32,113.4
84,Olho d'Água do Casado,Alagoas,AL,2705804,casadense,-9.4229163,-37.8300034,9373,321.43,29.2
85,Olho d'Água Grande,Alagoas,AL,2705903,olho-grandense,-10.063344,-36.7927221,5123,117.01,43.8
86,Olivença,Alagoas,AL,2706000,olivense,-9.4867558,-37.1687339,11624,175.71,66.2
87,Ouro Branco,Alagoas,AL,2706109,ouro-branquense,-9.1621983,-37.3586848,11496,196.56,58.5
88,Palestina,Alagoas,AL,2706208,palestinense,-9.7002455,-37.3078999,5011,38.19,131.2
89,Palmeira dos Índios,Alagoas,AL,2706307,palmeirense,-9.4119133,-36.5661908,73218,450.96,162.4
90,Pão de Açúcar,Alagoas,AL,2706406,pão-de-açucarense,-9.7493777,-37.4351721,24399,692.39,35.2
91,Pariconha,Alagoas,AL,2706422,pariconhense,-9.2503835,-38.0419836,10533,254.72,41.4
92,Paripueira,Alagoas,AL,2706448,paripueirense,-9.4635594,-35.5522986,13176,92.79,142.0
93,Passo de Camaragibe,Alagoas,AL,2706505,camaragibense,-9.2615173,-35.4562795,15245,251.57,60.6
