id,cidade,estado,sigla,codigo,gentilico,latitude,longitude,populacao,area,densidade
4712,Adamantina,São Paulo,SP,3500105,adamantinense,-21.6824831,-51.0741711,35068,411.99,85.1
4713,Adolfo,São Paulo,SP,3500204,adolfino,-21.2743115,-49.6707205,3562,211.06,16.9
4714,Aguaí,São Paulo,SP,3500303,aguaiano,-22.0604521,-47.0388429,36305,474.55,76.5
4715,Águas da Prata,São Paulo,SP,3500402,pratense,-21.9469529,-46.7185754,8180,142.67,57.3
4716,Águas de Lindóia,São Paulo,SP,3500501,lindoiense,-22.4803601,-46.633882,18705,60.13,311.1
4717,Águas de Santa Bárbara,São Paulo,SP,3500550,santa-barbarense,-22.8413601,-49.2638678,6075,404.46,15.0
4718,Águas de São Pedro,São Paulo,SP,3500600,água-pedrense,-22.6015864,-47.8748462,3451,3.61,955.4
4719,Agudos,São Paulo,SP,3500709,agudense,-22.4684228,-48.9879801,37214,966.71,38.5
4720,Alambari,São Paulo,SP,3500758,alambariense,-23.5508263,-47.8984282,6025,159.6,37.8
4721,Alfredo Marcondes,São Paulo,SP,3500808,marcondense,-21.9630111,-51.4099625,4166,118.92,35.0
4722,Altair,São Paulo,SP,3500907,altairense,-20.5383521,-49.0817124,4160,313.01,13.3
4723,Altinópolis,São Paulo,SP,3501004,altinopolense,-21.0227981,-47.3742385,16184,928.96,17.4
4724,Alto Alegre,São Paulo,SP,3501103,alto-alegrense,-21.6239762,-50.2038438,4099,318.57,12.9
4725,Alumínio,São Paulo,SP,3501152,aluminense,-23.5306892,-47.2826144,18628,83.66,222.7
4726,Álvares Florence,São Paulo,SP,3501202,alvares florencense,-20.282071,-49.9161886,3679,362.41,10.2
4727,Álvares Machado,São Paulo,SP,3501301,machadense,-22.1840675,-51.5570726,24915,347.65,71.7
4728,Álvaro de Carvalho,São Paulo,SP,3501400,álvaro-carvalhense,-22.0848655,-49.7524306,5227,153.66,34.0
4729,Alvinlândia,São Paulo,SP,3501509,alvinlandense,-22.4522505,-49.7626523,3222,84.88,38.0
4730,Americana,São Paulo,SP,3501608,americanense,-22.7378203,-47.3337008,239597,133.91,1789.2
4731,Américo Brasiliense,São Paulo,SP,3501707,américo-brasiliense,-21.7300823,-48.0605108,40504,122.79,329.9
4732,Américo de Campos,São Paulo,SP,3501806,americampense,-20.3156287,-49.7524306,5969,252.88,23.6
4733,Amparo,São Paulo,SP,3501905,amparense,-22.7080671,-46.7726697,72195,445.32,162.1
4734,Analândia,São Paulo,SP,3502002,analandense,-22.1292695,-47.6626925,4995,325.95,15.3
4735,Andradina,São Paulo,SP,3502101,andradinense,-20.8990077,-51.3797039,57157,964.23,59.3
4736,Angatuba,São Paulo,SP,3502200,angatubense,-23.4948382,-48.4137924,25228,1027.29,24.6
4737,Anhembi,São Paulo,SP,3502309,anhembiense,-23.5162634,-46.6432255,6724,736.56,9.1
4738,Anhumas,São Paulo,SP,3502408,anhumense,-22.2955799,-51.3872764,4115,320.84,12.8
4739,Aparecida,São Paulo,SP,3502507,aparecidense,-22.8469774,-45.231637,36157,121.08,298.6
4740,Aparecida d'Oeste,São Paulo,SP,3502606,aparecidense,-20.4707873,-50.9080913,4196,179.0,23.4
4741,Apiaí,São Paulo,SP,3502705,apiaiense,-24.5113085,-48.8447394,24374,974.32,25.0
4742,Araçariguama,São Paulo,SP,3502754,araçariguamense,-23.437091,-47.0612809,22364,145.2,154.0
4743,Araçatuba,São Paulo,SP,3502804,araçatubense,-21.2081189,-50.4405769,197016,1167.13,168.8
4744,Araçoiaba da Serra,São Paulo,SP,3502903,araçoiabano,-23.5033899,-47.6170597,34146,255.33,133.7
4745,Aramina,São Paulo,SP,3503000,araminense,-20.0878539,-47.7882157,5620,202.83,27.7
4746,Arandu,São Paulo,SP,3503109,aranduense,-23.1960487,-49.0817124,6357,285.91,22.2
