id,cidade,estado,sigla,codigo,gentilico,latitude,longitude,populacao,area,densidade
805,Afonso Cláudio,Espírito Santo,ES,3200102,afonso-claudense,-20.0807222,-41.1602597,30586,941.19,32.5
806,Água Doce do Norte,Espírito Santo,ES,3200169,água-docense,-18.5218358,-40.9788775,11019,473.73,23.3
807,Águia Branca,Espírito Santo,ES,3200136,aguiabranquense,-18.9850498,-40.7397329,9642,454.45,21.2
808,Alegre,Espírito Santo,ES,3200201,alegrense,-20.7627978,-41.5324195,30084,772.0,39.0
809,Alfredo Chaves,Espírito Santo,ES,3200300,alfredense,-20.6362063,-40.7500672,14601,615.68,23.7
810,Alto Rio Novo,Espírito Santo,ES,3200359,alto-rio-novense,-19.0249945,-40.9788775,7836,227.62,34.4
811,Anchieta,Espírito Santo,ES,3200409,anchietense,-20.8006985,-40.6445003,29263,409.69,71.4
812,Apiacá,Espírito Santo,ES,3200508,apiacaense,-21.1537998,-41.5663989,7567,193.98,39.0
813,Aracruz,Espírito Santo,ES,3200607,aracruzense,-19.8205316,-40.2768213,101220,1420.29,71.3
814,Atilio Vivacqua,Espírito Santo,ES,3200706,atilio-vivacquense,-20.9170949,-41.1942397,11936,232.87,51.3
815,Baixo Guandu,Espírito Santo,ES,3200805,guanduense,-19.5097867,-41.0165586,30998,909.04,34.1
816,Barra de São Francisco,Espírito Santo,ES,3200904,franciscano,-18.694373,-40.8374011,44650,944.52,47.3
817,Boa Esperança,Espírito Santo,ES,3201001,esperancense,-18.4958087,-40.3292795,15037,428.72,35.1
818,Bom Jesus do Norte,Espírito Santo,ES,3201100,bom-jesuense,-21.0980507,-41.6311166,9936,89.08,111.5
819,Brejetuba,Espírito Santo,ES,3201159,brejetubense,-20.149507,-41.2922431,12404,354.4,35.0
820,Cachoeiro de Itapemirim,Espírito Santo,ES,3201209,cachoeirense,-20.8467047,-41.1202199,208972,864.58,241.7
821,Cariacica,Espírito Santo,ES,3201308,cariaciquense,-20.2642764,-40.420365,381285,279.72,1363.1
822,Castelo,Espírito Santo,ES,3201407,castelense,-20.6037462,-41.203524,37534,663.52,56.6
823,Colatina,Espírito Santo,ES,3201506,colatinense,-19.5262632,-40.6351179,122499,1398.22,87.6
824,Conceição da Barra,Espírito Santo,ES,3201605,barrense,-18.5887732,-39.736577,31063,1182.59,26.3
825,Conceição do Castelo,Espírito Santo,ES,3201704,conceiçãoense,-20.3643867,-41.2421207,12723,369.78,34.4
826,Divino de São Lourenço,Espírito Santo,ES,3201803,são-lourencense,-20.6205721,-41.6852231,4304,174.04,24.7
827,Domingos Martins,Espírito Santo,ES,3201902,martinense,-20.3608016,-40.6598433,33850,1229.21,27.5
828,Dores do Rio Preto,Espírito Santo,ES,3202009,rio-pretense,-20.6445443,-41.7904952,6749,159.3,42.4
829,Ecoporanga,Espírito Santo,ES,3202108,ecoporanguense,-18.3709127,-40.8328525,22923,2285.37,10.0
830,Fundão,Espírito Santo,ES,3202207,fundãoense,-19.9375242,-40.4081412,21509,286.85,75.0
831,Governador Lindenberg,Espírito Santo,ES,3202256,lindenberguense,-19.193467,-40.4923608,12709,360.02,35.3
832,Guaçuí,Espírito Santo,ES,3202306,guaçuiense,-20.7714101,-41.7208243,30867,468.19,65.9
833,Guarapari,Espírito Santo,ES,3202405,guarapariense,-20.6741197,-40.4997382,124859,589.83,211.7
834,Ibatiba,Espírito Santo,ES,3202454,ibatibense,-20.2351644,-41.5090668,26082,240.28,108.5
835,Ibiraçu,Espírito Santo,ES,3202504,ibiraçuense,-19.8331326,-40.3688173,12479,201.25,62.0
836,Ibitirama,Espírito Santo,ES,3202553,ibitiranense,-20.4621533,-41.7208243,8889,330.87,26.9
837,Iconha,Espírito Santo,ES,3202603,iconhense,-20.7917801,-40.813588,13860,203.53,68.1
838,Irupi,Espírito Santo,ES,3202652,irupiense,-20.3483832,-41.6385979,13377,184.81,72.4
839,Itaguaçu,Espírito Santo,ES,3202702,itaguaçuense,-19.8022734,-40.8605209,14066,535.02,26.3
840,Itapemirim,Espírito Santo,ES,3202801,itapemirinense,-20.8999339,-40.7817933,34348,550.71,62.4
841,Itarana,Espírito Santo,ES,3202900,itaranense,-19.8726384,-40.8752608,10555,295.19,35.8
842,Iúna,Espírito Santo,ES,3203007,iunense,-20.353624,-41.5338333,29161,460.59,63.3
843,Jaguaré,Espírito Santo,ES,3203056,jaguarense,-18.9055712,-40.0759186,30477,659.75,46.2
844,Jerônimo Monteiro,Espírito Santo,ES,3203106,monteirense,-20.8131981,-41.3811577,12192,162.2,75.2
845,João Neiva,Espírito Santo,ES,3203130,joão-neivense,-19.7117202,-40.4516329,16668,284.73,58.5
846,Laranja da Terra,Espírito Santo,ES,3203163,laranjense,-19.8998849,-41.0625253,10947,458.37,23.9
847,Linhares,Espírito Santo,ES,3203205,linharense,-19.3946651,-40.0652641,173555,3496.26,49.6
848,Mantenópolis,Espírito Santo,ES,3203304,mantenopolisense,-18.8619015,-41.1215853,15350,321.42,47.8
849,Marataizes,Espírito Santo,ES,3203320,marataizense,-21.045485,-40.8317367,38499,130.27,295.5
850,Marechal Floriano,Espírito Santo,ES,3203346,florianense,-20.4419793,-40.7766611,16694,285.5,58.5
851,Marilândia,Espírito Santo,ES,3203353,marilandense,-19.4118446,-40.5460295,12833,327.64,39.2
852,Mimoso do Sul,Espírito Santo,ES,3203403,mimosense,-21.0632703,-41.3619226,26153,869.44,30.1
853,Montanha,Espírito Santo,ES,3203502,montanhense,-18.1417342,-40.2680075,18833,1099.06,17.1
854,Mucurici,Espírito Santo,ES,3203601,mucuriciense,-18.0027044,-40.5127142,5524,540.53,10.2
855,Muniz Freire,Espírito Santo,ES,3203700,muniz-freirense,-20.4656769,-41.4160225,17465,678.8,25.7
856,Muqui,Espírito Santo,ES,3203809,muquiense,-20.9513517,-41.3463871,15449,327.27,47.2
857,Nova Venécia,Espírito Santo,ES,3203908,veneciano,-18.7074851,-40.3955859,50110,1439.57,34.8
858,Pancas,Espírito Santo,ES,3204005,panquense,-19.2234241,-40.8538285,23184,837.84,27.7
859,Pedro Canário,Espírito Santo,ES,3204054,canariense,-18.3008191,-39.957671,26184,433.45,60.4
860,Pinheiros,Espírito Santo,ES,3204104,pinheirense,-18.3958665,-40.1862129,27047,973.14,27.8
861,Piúma,Espírito Santo,ES,3204203,piumense,-20.8420055,-40.7357215,21711,74.05,293.2
862,Ponto Belo,Espírito Santo,ES,3204252,pontobelense,-18.123718,-40.5420832,7863,360.11,21.8
863,Presidente Kennedy,Espírito Santo,ES,3204302,kennediense,-21.1010673,-41.045155,11574,594.9,19.5
864,Rio Bananal,Espírito Santo,ES,3204351,ribanense,-19.2332476,-40.2680075,19141,641.93,29.8
865,Rio Novo do Sul,Espírito Santo,ES,3204401,novense-do-sul,-20.8250212,-40.9384914,11622,204.46,56.8
866,Santa Leopoldina,Espírito Santo,ES,3204500,leopoldinense,-20.1004038,-40.5273817,12224,718.1,17.0
