id,cidade,estado,sigla,codigo,gentilico,latitude,longitude,populacao,area,densidade
4730,Americana,São Paulo,SP,3501608,americanense,-22.7378203,-47.3337008,239597,133.91,1789.2
4733,Amparo,São Paulo,SP,3501905,amparense,-22.7080671,-46.7726697,72195,445.32,162.1
4735,Andradina,São Paulo,SP,3502101,andradinense,-20.8990077,-51.3797039,57157,964.23,59.3
4743,Araçatuba,São Paulo,SP,3502804,araçatubense,-21.2081189,-50.4405769,197016,1167.13,168.8
4748,Araraquara,São Paulo,SP,3503208,araraquarense,-21.7848272,-48.1786486,236072,1003.63,235.2
4749,Araras,São Paulo,SP,3503307,ararense,-22.3604911,-47.3798391,134236,644.83,208.2
4755,Artur Nogueira,São Paulo,SP,3503802,nogueirense,-22.573223,-47.1731269,54408,178.03,305.6
4756,Arujá,São Paulo,SP,3503901,arujaense,-23.3969682,-46.3204265,89824,96.17,934.0
4758,Assis,São Paulo,SP,3504008,assisense,-22.6604341,-50.4187813,104386,460.61,226.6
4759,Atibaia,São Paulo,SP,3504107,atibaiano,-23.1175492,-46.5567066,142761,478.52,298.3
4763,Avaré,São Paulo,SP,3504503,avareense,-23.1072154,-48.925516,90655,1213.06,74.7
4776,Barueri,São Paulo,SP,3505708,barueriense,-23.5113691,-46.872942,274182,65.7,4173.2
4778,Batatais,São Paulo,SP,3505906,batataense,-20.8933441,-47.5925952,62508,849.53,73.6
4779,Bauru,São Paulo,SP,3506003,bauruense,-22.314459,-49.0586951,376818,667.68,564.4
4780,Bebedouro,São Paulo,SP,3506102,bebedourense,-20.9496743,-48.4795696,77496,683.19,113.4
4783,Bertioga,São Paulo,SP,3506359,bertioguense,-23.8064303,-46.0589521,63249,491.55,128.7
4785,Birigui,São Paulo,SP,3506508,biriguiense,-21.2915055,-50.3436312,123638,530.03,233.3
4790,Boituva,São Paulo,SP,3507001,boituvense,-23.2860188,-47.6790285,60997,248.95,245.0
4797,Botucatu,São Paulo,SP,3507506,botucatuense,-22.8841808,-48.4441654,146497,1482.64,98.8
4798,Bragança Paulista,São Paulo,SP,3507605,bragantino,-22.9531705,-46.5423239,168668,512.58,329.1
4808,Caçapava,São Paulo,SP,3508504,caçapavense,-23.0996965,-45.7080824,94263,368.99,255.5
4813,Caieiras,São Paulo,SP,3509007,caieirense,-23.3611748,-46.7402461,101470,97.64,1039.2
4815,Cajamar,São Paulo,SP,3509205,cajamarense,-23.3555044,-46.8785941,76801,131.39,584.5
4821,Campo Limpo Paulista,São Paulo,SP,3509601,campo-limpense,-23.2082928,-46.7893689,84650,79.4,1066.1
4822,Campos do Jordão,São Paulo,SP,3509700,jordanense,-22.7428673,-45.5963557,52088,290.52,179.3
4831,Capivari,São Paulo,SP,3510401,capivariano,-22.9972026,-47.512814,55768,322.88,172.7
4832,Caraguatatuba,São Paulo,SP,3510500,caraguatatubense,-23.6255903,-45.4241453,121532,484.95,250.6
4833,Carapicuíba,São Paulo,SP,3510609,carapicuibano,-23.5239623,-46.8411243,400927,34.55,11605.6
4838,Catanduva,São Paulo,SP,3511102,catanduvense,-21.1318555,-48.977473,121862,290.6,419.4
4855,Cosmópolis,São Paulo,SP,3512803,cosmopolense,-22.6424272,-47.1930116,72252,154.67,467.2
4857,Cotia,São Paulo,SP,3513009,cotiano,-23.6026684,-46.9194693,249210,323.99,769.2
4861,Cruzeiro,São Paulo,SP,3513405,cruzeirense,-22.573256,-44.9693894,82238,305.7,269.0
4862,Cubatão,São Paulo,SP,3513504,cubatonense,-23.8916151,-46.4244141,130705,142.88,914.8
4865,Diadema,São Paulo,SP,3513801,diademense,-23.6818396,-46.620967,423884,30.73,13792.9
4880,Embu das Artes,São Paulo,SP,3515004,embuense,-23.6515085,-46.8521864,273726,70.4,3888.3
4881,Embu-Guaçu,São Paulo,SP,3515103,embu-guaçuense,-23.8303176,-46.8140431,69385,155.64,445.8
4892,Fernandópolis,São Paulo,SP,3515509,fernandopolense,-20.2810232,-50.2475804,69116,549.8,125.7
