id,cidade,estado,sigla,codigo,gentilico,latitude,longitude,populacao,area,densidade
3195,Abatiá,Paraná,PR,4100103,abatiense,-23.3108561,-50.2862819,7457,228.72,32.6
3196,Adrianópolis,Paraná,PR,4100202,adrianopolitano,-24.7593123,-48.8397403,5919,1349.31,4.4
3197,Agudos do Sul,Paraná,PR,4100301,agudense-do-sul,-26.0286752,-49.3044253,9371,192.26,48.7
3198,Almirante Tamandaré,Paraná,PR,4100400,tamandareense,-25.2985567,-49.3450112,118623,194.74,609.1
3199,Altamira do Paraná,Paraná,PR,4100459,altamirense,-24.8218692,-52.6814062,1942,386.95,5.0
3200,Alto Paraíso,Paraná,PR,4128625,altoparaisense,-23.5435415,-53.8671868,2741,967.77,2.8
3201,Alto Paraná,Paraná,PR,4100608,alto-paranaense,-23.13172,-52.3193827,14770,407.72,36.2
3202,Alto Piquiri,Paraná,PR,4100707,alto-piquirense,-24.0943485,-53.4122052,9836,447.67,22.0
3203,Altônia,Paraná,PR,4100509,altoniano,-23.8729539,-53.8933423,22056,661.56,33.3
3204,Alvorada do Sul,Paraná,PR,4100806,alvoradense-do-sul,-22.7960186,-51.2422395,11406,424.25,26.9
3205,Amaporã,Paraná,PR,4100905,amaporense,-23.1263504,-52.8527002,6257,384.74,16.3
3206,Ampére,Paraná,PR,4101002,amperense,-25.9179074,-53.4715171,19152,298.35,64.2
3207,Anahy,Paraná,PR,4101051,anaiense,-24.6399084,-53.1426814,2801,102.65,27.3
3208,Andirá,Paraná,PR,4101101,andiraense,-23.047934,-50.2306675,20031,236.08,84.9
3209,Ângulo,Paraná,PR,4101150,angulense,-23.1887099,-51.9156992,2928,106.02,27.6
3210,Antonina,Paraná,PR,4101200,antoninense,-25.4328356,-48.7162067,18980,882.32,21.5
3211,Antônio Olinto,Paraná,PR,4101309,antoniolintense,-25.9745743,-50.1420882,7434,469.62,15.8
3212,Apucarana,Paraná,PR,4101408,apucaranense,-23.5504385,-51.4639716,134996,558.39,241.8
3213,Arapongas,Paraná,PR,4101507,araponguense,-23.4157731,-51.4264048,123027,382.22,321.9
3214,Arapoti,Paraná,PR,4101606,arapotiense,-24.1507449,-49.826658,28115,1360.49,20.7
3215,Arapuã,Paraná,PR,4101655,arapuãense,-24.3136599,-51.7861276,3068,217.37,14.1
3216,Araruna,Paraná,PR,4101705,ararunense,-23.9313748,-52.4990389,13970,493.19,28.3
3217,Araucária,Paraná,PR,4101804,araucariano,-25.586431,-49.4052251,143843,469.24,306.5
3218,Ariranha do Ivaí,Paraná,PR,4101853,ariranhense do ivaí,-24.3636974,-51.5360368,2108,239.56,8.8
3219,Assaí,Paraná,PR,4101903,assaiense,-23.4049892,-50.8664451,15119,440.35,34.3
3220,Assis Chateaubriand,Paraná,PR,4102000,assis-chateaubriense,-24.4066881,-53.5142422,33362,969.59,34.4
3221,Astorga,Paraná,PR,4102109,astorgano,-23.2400211,-51.6639768,26111,434.79,60.1
3222,Atalaia,Paraná,PR,4102208,atalaiense,-23.1157079,-52.0851258,3892,137.66,28.3
3223,Balsa Nova,Paraná,PR,4102307,balsa-novense,-25.5808612,-49.6295579,12941,348.93,37.1
3224,Bandeirantes,Paraná,PR,4102406,bandeirantense,-23.1087262,-50.3675124,31367,445.19,70.5
3225,Barbosa Ferraz,Paraná,PR,4102505,barbosense,-24.0287339,-52.0137547,11568,538.64,21.5
3226,Barra do Jacaré,Paraná,PR,4102703,barrense,-23.1027892,-50.1215169,2781,115.72,24.0
3227,Barracão,Paraná,PR,4102604,barraconense,-26.2499424,-53.5419225,10275,171.4,59.9
3228,Bela Vista da Caroba,Paraná,PR,4102752,boaesperencense,-25.8681271,-53.6285244,3511,148.11,23.7
3229,Bela Vista do Paraíso,Paraná,PR,4102802,bela-vistense,-22.9941291,-51.1931385,15397,242.69,63.4
3230,Bituruna,Paraná,PR,4102901,biturenense,-26.1585307,-51.5548851,16389,1228.28,13.3
3231,Boa Esperança,Paraná,PR,4103008,boa-esperansense,-24.2386946,-52.7670021,4105,302.74,13.6
3232,Boa Esperança do Iguaçu,Paraná,PR,4103024,boaesperencense,-25.6331944,-53.2395973,2503,151.8,16.5
3233,Boa Ventura de São Roque,Paraná,PR,4103040,boa venturense,-24.9365279,-51.6412826,6387,620.45,10.3
3234,Boa Vista da Aparecida,Paraná,PR,4103057,boa-vistense,-25.4338657,-53.4074927,7591,256.3,29.6
3235,Bocaiúva do Sul,Paraná,PR,4103107,bocaiuvense,-25.2071511,-49.1140998,12944,826.34,15.7
3236,Bom Jesus do Sul,Paraná,PR,4103156,bonjesuense,-26.1686024,-53.5419225,3541,173.82,20.4
3237,Bom Sucesso,Paraná,PR,4103206,bom-sucessense,-23.7277649,-51.8311441,7032,322.76,21.8
3238,Bom Sucesso do Sul,Paraná,PR,4103222,bomsucessense do sul,-26.0932926,-52.8419824,3264,195.93,16.7
3239,Borrazópolis,Paraná,PR,4103305,borrazopolitano,-23.9376618,-51.5874678,6592,334.38,19.7
3240,Braganey,Paraná,PR,4103354,braganense,-24.7831741,-53.1104044,5427,343.32,15.8
3241,Brasilândia do Sul,Paraná,PR,4103370,brasilandiense,-24.1710055,-53.5419225,2651,291.04,9.1
3242,Cafeara,Paraná,PR,4103404,cafearense,-22.7895237,-51.7146798,2934,185.8,15.8
3243,Cafelândia,Paraná,PR,4103453,cafelandense,-24.6938177,-53.3690158,18120,271.72,66.7
3244,Cafezal do Sul,Paraná,PR,4103479,cafezalense,-23.925967,-53.5419225,4044,335.39,12.1
3245,Califórnia,Paraná,PR,4103503,californiano,-23.6605742,-51.3260472,8570,141.82,60.4
3246,Cambará,Paraná,PR,4103602,cambaraense,-23.0465199,-50.0720282,25360,366.15,69.3
3247,Cambé,Paraná,PR,4103701,cambeense,-23.277052,-51.2803152,106533,495.38,215.1
3248,Cambira,Paraná,PR,4103800,cambirense,-23.654251,-51.5781151,7865,163.39,48.1
3249,Campina da Lagoa,Paraná,PR,4103909,campinense-da-lagoa,-24.5933227,-52.8040728,14202,796.61,17.8
3250,Campina do Simão,Paraná,PR,4103958,campineiro do simão,-25.1480527,-51.8100218,3887,448.42,8.7
3251,Campina Grande do Sul,Paraná,PR,4104006,campinense-do-sul,-25.304882,-49.0555691,43288,539.25,80.3
3252,Campo Bonito,Paraná,PR,4104055,campo-bonitense,-24.9210217,-53.0244018,3833,433.83,8.8
3253,Campo do Tenente,Paraná,PR,4104105,tenentiano,-25.9688744,-49.6503106,7971,304.49,26.2
3254,Campo Largo,Paraná,PR,4104204,campo-larguense,-25.4596855,-49.5273149,132002,1243.55,106.1
3255,Campo Magro,Paraná,PR,4104253,campomagrense,-25.3694999,-49.4506456,29318,275.35,106.5
3256,Campo Mourão,Paraná,PR,4104303,campo-mourense,-24.0436553,-52.3781098,94859,749.64,126.5
3257,Cândido de Abreu,Paraná,PR,4104402,cândido-abreuense,-24.5653769,-51.3376784,15018,1510.16,9.9
3258,Candói,Paraná,PR,4104428,candoianos,-25.4675864,-51.9368545,15979,1512.79,10.6
3259,Cantagalo,Paraná,PR,4104451,cantagalense,-25.3754593,-52.1217384,13317,583.54,22.8
3260,Capanema,Paraná,PR,4104501,capanemense,-25.6200963,-53.758612,19124,419.04,45.6
3261,Capitão Leônidas Marques,Paraná,PR,4104600,leônidas-marquesiense,-25.4889021,-53.5852111,15780,275.75,57.2
3262,Carambeí,Paraná,PR,4104659,carambiense,-24.9525298,-50.1155075,23415,649.68,36.0
3263,Carlópolis,Paraná,PR,4104709,carlopolitano,-23.477269,-49.7319925,14320,451.42,31.7
3264,Cascavel,Paraná,PR,4104808,cascavelense,-24.9578832,-53.459544,328454,2101.07,156.3
3265,Castro,Paraná,PR,4104907,castrense,-24.7902746,-49.7728757,71484,2531.5,28.2
3266,Catanduvas,Paraná,PR,4105003,catanduvense,-25.204834,-53.1553309,10189,581.76,17.5
3267,Centenário do Sul,Paraná,PR,4105102,centenariense,-22.8192739,-51.5967377,10827,371.83,29.1
3268,Cerro Azul,Paraná,PR,4105201,cerro-azulense,-24.8928967,-49.2435998,17779,1341.19,13.3
3269,Céu Azul,Paraná,PR,4105300,céu-azulense,-25.2383553,-53.7803147,11765,1179.45,10.0
3270,Chopinzinho,Paraná,PR,4105409,chopinzinhense,-25.8359374,-52.4891909,19254,959.69,20.1
3271,Cianorte,Paraná,PR,4105508,cianortense,-23.6602731,-52.6068646,82620,811.67,101.8
3272,Cidade Gaúcha,Paraná,PR,4105607,cidade-gauchense,-23.3824479,-52.9445236,12652,403.05,31.4
3273,Clevelândia,Paraná,PR,4105706,clevelandense,-26.4078459,-52.3606562,16559,703.64,23.5
3274,Colombo,Paraná,PR,4105805,colombense,-25.2929388,-49.2266301,243726,197.79,1232.2
3275,Colorado,Paraná,PR,4105904,colorados,-22.8382929,-51.9580164,24012,403.26,59.5
3276,Congonhinhas,Paraná,PR,4106001,congonhinhense,-23.5704567,-50.5549719,8818,535.96,16.5
3277,Conselheiro Mairinck,Paraná,PR,4106100,mairinquense,-23.6170247,-50.1215169,3860,204.71,18.9
3278,Contenda,Paraná,PR,4106209,contendense,-25.6793029,-49.5355225,18584,299.04,62.1
3279,Corbélia,Paraná,PR,4106308,corbeliano,-24.7650935,-53.2611514,17071,529.38,32.2
3280,Cornélio Procópio,Paraná,PR,4106407,procopense,-23.197833,-50.6378804,47845,635.1,75.3
