cidade;estado;sigla;populacao alocada;Equipamentos Existentes;Equipamentos Adicionais;latitude;longitude
Cruzeiro do Sul;Acre;AC;123984;0;1;-7,6280405;-72,6761608
Rio Branco;Acre;AC;505863;0;2;-9,9753837;-67,824918
Arapiraca;Alagoas;AL;765763;0;1;-9,755588;-36,6639577
Delmiro Gouveia;Alagoas;AL;414123;0;1;-9,3859509;-37,998877
Palmeira dos Índios;Alagoas;AL;333577;0;1;-9,4119133;-36,5661908
Penedo;Alagoas;AL;359025;0;1;-10,2878675;-36,5822391
Rio Largo;Alagoas;AL;1619702;0;1;-9,5106567;-35,8122531
Manacapuru;Amazonas;AM;2328436;2 (Manaus);3;-3,2897192;-60,6319066
Tabatinga;Amazonas;AM;128749;0;1;-4,2316306;-69,936928
Laranjal do Jari;Amapá;AP;50410;0;1;1,0943041;-53,2180495
Macapá;Amapá;AP;554710;0;2;0,0355735;-51,070535
Santana;Amapá;AP;121364;0;1;0,0728284;-51,4421328
Alagoinhas;Bahia;BA;451734;0;1;-12,1339689;-38,4211223
Barra;Bahia;BA;132468;0;1;-11,0897577;-43,1390524
Barreiras;Bahia;BA;322041;0;1;-12,1477483;-44,9953475
Bom Jesus da Lapa;Bahia;BA;188898;0;1;-13,2513786;-43,4112394
Brumado;Bahia;BA;202510;0;1;-14,1968614;-41,6809724
Caetité;Bahia;BA;169018;0;1;-14,0648657;-42,4858867
Campo Formoso;Bahia;BA;71206;0;1;-10,1914246;-40,7969149
Casa Nova;Bahia;BA;112977;0;1;-9,1756152;-40,9734426
Conceição do Coité;Bahia;BA;373283;0;1;-11,5576676;-39,2791011
Euclides da Cunha;Bahia;BA;196657;0;1;-10,5082596;-39,0156074
Eunápolis;Bahia;BA;195757;0;1;-16,3719941;-39,5825118
Feira de Santana;Bahia;BA;1083231;;;-12,2597272;-38,9646608
Guanambi;Bahia;BA;194902;;;-14,2235167;-42,7803335
Ilhéus;Bahia;BA;211193;;;-14,7931916;-39,0464023
Ipirá;Bahia;BA;187222;;;-12,1571052;-39,7400824
Irecê;Bahia;BA;352125;;;-11,303555;-41,8561503
Itaberaba;Bahia;BA;198764;;;-12,5245553;-40,3061968
Itabuna;Bahia;BA;486521;;;-14,7880327;-39,2784178
Itapetinga;Bahia;BA;254049;;;-15,2475119;-40,2509918
Jacobina;Bahia;BA;237299;;;-11,1816506;-40,5120603
Jaguaquara;Bahia;BA;200793;;;-13,5281974;-39,9695429
Jequié;Bahia;BA;302334;;;-13,8590328;-40,0837506
Paulo Afonso;Bahia;BA;297366;;;-9,4061251;-38,2163717
Porto Seguro;Bahia;BA;199792;;;-16,4443537;-39,0653656
Ribeira do Pombal;Bahia;BA;464770;;;-10,8365146;-38,5439246
Santo Antônio de Jesus;Bahia;BA;540825;;;-12,9698503;-39,2617368
