"id","cidade","estado","sigla","codigo","gentilico","latitude","longitude","populacao","area","densidade"
"1","Acrelândia","Acre","AC","1200013","acrelandense","-10.07639180","-67.05869770","15256","1807.95","8.4"
"2","Assis Brasil","Acre","AC","1200054","assis-brasiliense","-10.75795790","-69.95503380","7417","4974.18","1.5"
"3","Brasiléia","Acre","AC","1200104","brasileense","-10.70599300","-69.19239160","26278","3916.50","6.7"
"4","Bujari","Acre","AC","1200138","bujariense","-9.81566380","-67.95557890","10266","3034.87","3.4"
"5","Capixaba","Acre","AC","1200179","capixabense","-10.57211200","-67.67512200","11733","1701.97","6.9"
"6","Cruzeiro do Sul","Acre","AC","1200203","cruzeirense","-7.62804050","-72.67616080","88376","8779.40","10.1"
"7","Epitaciolândia","Acre","AC","1200252","epitaciolandense","-10.87516960","-68.57241120","18411","1654.77","11.1"
"8","Feijó","Acre","AC","1200302","feijoense","-8.16428470","-70.35293110","34780","27975.43","1.2"
"9","Jordão","Acre","AC","1200328","jordãoense","-9.16348760","-71.85713310","8317","5357.28","1.6"
"10","Mâncio Lima","Acre","AC","1200336","mancio-limense","-7.54680030","-73.37086960","18977","5452.85","3.5"
"11","Manoel Urbano","Acre","AC","1200344","manoel-urbanense","-8.83790280","-69.26191370","9459","10633.14","0.9"
"12","Marechal Thaumaturgo","Acre","AC","1200351","thaumaturguense","-9.03147580","-72.61511690","18867","8191.69","2.3"
"13","Plácido de Castro","Acre","AC","1200385","placidiano","-10.23132050","-67.28478750","19761","1943.85","10.2"
"14","Porto Acre","Acre","AC","1200807","portoacrense","-9.63336470","-67.71391000","18504","2604.89","7.1"
"15","Porto Walter","Acre","AC","1200393","portowaltense","-8.53161630","-72.80427970","11982","6443.83","1.9"
"16","Rio Branco","Acre","AC","1200401","rio-branquense","-9.97538370","-67.82491800","407319","8834.94","46.1"
"17","Rodrigues Alves","Acre","AC","1200427","rodriguesalvense","-7.88187400","-73.37086960","18930","3076.95","6.2"
"18","Santa Rosa do Purus","Acre","AC","1200435","santarosense","-9.07128300","-70.14558050","6540","6145.61","1.1"
"19","Sena Madureira","Acre","AC","1200500","sena-madureirense","-9.60967170","-69.28775350","45848","23753.07","1.9"
"20","Senador Guiomard","Acre","AC","1200450","guiomaense","-10.15007370","-67.73673450","23024","2322.03","9.9"
"21","Tarauacá","Acre","AC","1200609","tarauacaense","-8.21323230","-71.38243740","42567","20171.08","2.1"
"22","Xapuri","Acre","AC","1200708","xapuriense","-10.65212590","-68.42932140","19323","5347.47","3.6"
"23","Água Branca","Alagoas","AL","2700102","água-branquense","-9.26614040","-37.91487420","20196","468.23","43.1"
"24","Anadia","Alagoas","AL","2700201","anadiense","-9.66658920","-36.30645950","17545","186.13","94.3"
"25","Arapiraca","Alagoas","AL","2700300","arapiraquense","-9.75558800","-36.66395770","231747","345.66","670.5"
"26","Atalaia","Alagoas","AL","2700409","atalaiense","-9.53814050","-36.13281320","47185","533.26","88.5"
"27","Barra de Santo Antônio","Alagoas","AL","2700508","barrense","-9.37201900","-35.55484220","15932","131.36","121.3"
"28","Barra de São Miguel","Alagoas","AL","2700607","barrense","-9.81322170","-35.94788690","8322","74.24","112.1"
"29","Batalha","Alagoas","AL","2700706","batalhense","-9.71937000","-37.08295930","18232","319.04","57.1"
"30","Belém","Alagoas","AL","2700805","belenense","-9.54176430","-36.49052780","4344","66.66","65.2"
"31","Belo Monte","Alagoas","AL","2700904","belo-montense","-9.83556100","-37.19016160","6704","335.05","20.0"
"32","Boca da Mata","Alagoas","AL","2701001","matense","-9.64383790","-36.21309180","27281","185.97","146.7"
"33","Branquinha","Alagoas","AL","2701100","branquinhense","-9.24132710","-36.01238100","10494","165.25","63.5"
"34","Cacimbinhas","Alagoas","AL","2701209","cacimbense","-9.44439860","-36.91110570","10858","273.77","39.7"
"35","Cajueiro","Alagoas","AL","2701308","cajueirense","-9.36776900","-36.15454040","21264","94.36","225.4"
"36","Campestre","Alagoas","AL","2701357","camprestrense","-8.88669170","-35.55484220","6936","65.91","105.2"
"37","Campo Alegre","Alagoas","AL","2701407","campo-alegrense","-9.78313040","-36.35077290","57063","312.71","182.5"
"38","Campo Grande","Alagoas","AL","2701506","campo-grandense","-9.96477810","-36.76040270","9558","169.99","56.2"
"39","Canapi","Alagoas","AL","2701605","canapiense","-9.11607690","-37.60366200","17722","602.78","29.4"
"40","Capela","Alagoas","AL","2701704","capelense","-9.41062410","-36.08100620","17053","257.56","66.2"
"41","Carneiros","Alagoas","AL","2701803","carneirense","-9.47084140","-37.37203920","9081","101.85","89.2"
"42","Chã Preta","Alagoas","AL","2701902","chã-pretense","-9.24101770","-36.28477510","7311","169.46","43.1"
"43","Coité do Nóia","Alagoas","AL","2702009","coitenense","-9.63255210","-36.58098700","10693","88.76","120.5"
"44","Colônia Leopoldina","Alagoas","AL","2702108","leopoldinense","-8.91378260","-35.72056290","21698","207.89","104.4"
"45","Coqueiro Seco","Alagoas","AL","2702207","coqueirense","-9.64388540","-35.79526670","5845","39.61","147.6"
"46","Coruripe","Alagoas","AL","2702306","coruripense","-10.12500220","-36.17615220","56933","897.78","63.4"
"47","Craíbas","Alagoas","AL","2702355","craibense","-9.62433270","-36.80349210","24219","278.88","86.8"
"48","Delmiro Gouveia","Alagoas","AL","2702405","delmirense","-9.38595090","-37.99887700","52016","626.69","83.0"
"49","Dois Riachos","Alagoas","AL","2702504","riachense","-9.37072740","-37.06149980","11075","139.85","79.2"
"50","Estrela de Alagoas","Alagoas","AL","2702553","estrelense","-9.39051380","-36.75993010","18205","260.77","69.8"
"51","Feira Grande","Alagoas","AL","2702603","feira-grandense","-9.89890580","-36.67682720","22166","178.06","124.5"
"52","Feliz Deserto","Alagoas","AL","2702702","feliz-desertense","-10.28267000","-36.32813770","4754","110.37","43.1"
"53","Flexeiras","Alagoas","AL","2702801","flexeirense","-9.27500310","-35.72441460","12790","333.05","38.4"
"54","Girau do Ponciano","Alagoas","AL","2702900","ponciense","-9.82612540","-36.82502740","40917","513.45","79.7"
"55","Ibateguara","Alagoas","AL","2703007","ibateguarense","-8.95155570","-35.89341360","15616","265.31","58.9"
"56","Igaci","Alagoas","AL","2703106","igaciense","-9.52879170","-36.67414870","25631","334.34","76.7"
"57","Igreja Nova","Alagoas","AL","2703205","igreja-novense","-10.12352430","-36.66180490","24499","427.03","57.4"
"58","Inhapi","Alagoas","AL","2703304","inhapiense","-9.27668630","-37.68122800","18385","372.02","49.4"
"59","Jacaré dos Homens","Alagoas","AL","2703403","jacarezeiro","-9.65557690","-37.22229120","5253","148.99","35.3"
"60","Jacuípe","Alagoas","AL","2703502","jacuipense","-8.88812140","-35.45627950","7021","208.74","33.6"
"61","Japaratinga","Alagoas","AL","2703601","japaratinguense","-9.08979700","-35.25809170","8361","85.36","98.0"
"62","Jaramataia","Alagoas","AL","2703700","jaramataiense","-9.64805260","-36.98634150","5770","105.86","54.5"
"63","Jequiá da Praia","Alagoas","AL","2703759","jequiaenses","-9.89647130","-36.11108000","11580","334.57","34.6"
"64","Joaquim Gomes","Alagoas","AL","2703809","juruquense","-9.07767250","-35.76252410","23993","298.29","80.4"
"65","Jundiá","Alagoas","AL","2703908","jundiaense","-8.95301840","-35.54389670","4155","88.79","46.8"
"66","Junqueiro","Alagoas","AL","2704005","junqueirense","-9.85342900","-36.45807750","24727","247.72","99.8"
"67","Lagoa da Canoa","Alagoas","AL","2704104","canoense","-9.82103730","-36.71728820","17852","83.62","213.5"
"68","Limoeiro de Anadia","Alagoas","AL","2704203","limoeirense","-9.74136410","-36.45807750","28635","309.21","92.6"
"69","Maceió","Alagoas","AL","2704302","maceioense","-9.64984870","-35.70894920","1018948","509.32","2000.6"
"70","Major Isidoro","Alagoas","AL","2704401","isidorense","-9.52372360","-37.01856170","19804","448.50","44.2"
"71","Mar Vermelho","Alagoas","AL","2704906","mar-vermelhense","-9.48036820","-36.38230630","3514","91.74","38.3"
"72","Maragogi","Alagoas","AL","2704500","maragogiense","-9.01037980","-35.22080510","32704","334.17","97.9"
"73","Maravilha","Alagoas","AL","2704609","maravilhense","-9.22406460","-37.36135330","9163","332.37","27.6"
"74","Marechal Deodoro","Alagoas","AL","2704708","deodorense","-9.71014300","-35.89705600","51901","331.19","156.7"
"75","Maribondo","Alagoas","AL","2704807","maribondense","-9.57739090","-36.30583920","13264","180.11","73.6"
"76","Mata Grande","Alagoas","AL","2705002","mata-grandense","-9.11837770","-37.73250640","25216","914.73","27.6"
"77","Matriz de Camaragibe","Alagoas","AL","2705101","matrizense","-9.09725020","-35.58766970","24642","238.34","103.4"
"78","Messias","Alagoas","AL","2705200","messiense","-9.33372670","-35.80617790","17856","114.16","156.4"
"79","Minador do Negrão","Alagoas","AL","2705309","negrense","-9.32280940","-36.84655640","5329","167.46","31.8"
"80","Monteirópolis","Alagoas","AL","2705408","guaribense","-9.60267240","-37.27580860","7159","86.60","82.7"
"81","Murici","Alagoas","AL","2705507","muriciense","-9.30953100","-35.94200410","28236","418.03","67.5"
"82","Novo Lino","Alagoas","AL","2705606","novo-linense","-8.94339520","-35.63141910","12690","215.55","58.9"
"83","Olho d'Água das Flores","Alagoas","AL","2705705","olho-daguense","-9.53220800","-37.29475340","21688","191.32","113.4"
"84","Olho d'Água do Casado","Alagoas","AL","2705804","casadense","-9.42291630","-37.83000340","9373","321.43","29.2"
"85","Olho d'Água Grande","Alagoas","AL","2705903","olho-grandense","-10.06334400","-36.79272210","5123","117.01","43.8"
"86","Olivença","Alagoas","AL","2706000","olivense","-9.48675580","-37.16873390","11624","175.71","66.2"
"87","Ouro Branco","Alagoas","AL","2706109","ouro-branquense","-9.16219830","-37.35868480","11496","196.56","58.5"
"88","Palestina","Alagoas","AL","2706208","palestinense","-9.70024550","-37.30789990","5011","38.19","131.2"
"89","Palmeira dos Índios","Alagoas","AL","2706307","palmeirense","-9.41191330","-36.56619080","73218","450.96","162.4"
"90","Pão de Açúcar","Alagoas","AL","2706406","pão-de-açucarense","-9.74937770","-37.43517210","24399","692.39","35.2"
"91","Pariconha","Alagoas","AL","2706422","pariconhense","-9.25038350","-38.04198360","10533","254.72","41.4"
"92","Paripueira","Alagoas","AL","2706448","paripueirense","-9.46355940","-35.55229860","13176","92.79","142.0"
"93","Passo de Camaragibe","Alagoas","AL","2706505","camaragibense","-9.26151730","-35.45627950","15245","251.57","60.6"
"94","Paulo Jacinto","Alagoas","AL","2706604","paulo-jacintense","-9.38483350","-36.40396290","7564","118.46","63.9"
"95","Penedo","Alagoas","AL","2706703","penedense","-10.28786750","-36.58223910","63683","689.88","92.3"
"96","Piaçabuçu","Alagoas","AL","2706802","piaçabuçuense","-10.38441820","-36.41478890","17827","241.13","73.9"
"97","Pilar","Alagoas","AL","2706901","pilarense","-9.59809240","-35.95676480","35111","251.07","139.8"
"98","Pindoba","Alagoas","AL","2707008","pindobense","-9.47469550","-36.27393060","2908","117.09","24.8"
"99","Piranhas","Alagoas","AL","2707107","piranhense","-9.54360590","-37.74502800","25039","410.11","61.1"
"100","Poço das Trincheiras","Alagoas","AL","2707206","pocense","-9.30633540","-37.28546650","14386","284.26","50.6"
"101","Porto Calvo","Alagoas","AL","2707305","porto-calvense","-9.00473920","-35.41243550","27165","313.23","86.7"
"102","Porto de Pedras","Alagoas","AL","2707404","porto-pedrense","-9.15417550","-35.41243550","7786","257.11","30.3"
"103","Porto Real do Colégio","Alagoas","AL","2707503","colegiense","-10.18909240","-36.76040270","20066","236.68","84.8"
"104","Quebrangulo","Alagoas","AL","2707602","quebrangulense","-9.29492700","-36.45807750","11294","319.83","35.3"
"105","Rio Largo","Alagoas","AL","2707701","rio-larguense","-9.51065670","-35.81225310","75120","293.82","255.7"
"106","Roteiro","Alagoas","AL","2707800","roteirense","-9.87497690","-35.98055280","6664","128.81","51.7"
"107","Santa Luzia do Norte","Alagoas","AL","2707909","nortense","-9.61993460","-35.83890260","7296","28.86","252.8"
"108","Santana do Ipanema","Alagoas","AL","2708006","santanense","-9.37041260","-37.24835490","47654","437.88","108.8"
"109","Santana do Mundaú","Alagoas","AL","2708105","mundauense","-9.13973280","-36.19797640","10740","225.41","47.6"
"110","São Brás","Alagoas","AL","2708204","são-braense","-10.10310450","-36.84655640","6961","139.95","49.7"
"111","São José da Laje","Alagoas","AL","2708303","lajense","-9.00794270","-36.05535890","23927","256.64","93.2"
"112","São José da Tapera","Alagoas","AL","2708402","taperense","-9.55809000","-37.38348070","32260","494.50","65.2"
"113","São Luís do Quitunde","Alagoas","AL","2708501","quitundense","-9.31876630","-35.56104250","34555","397.37","87.0"
"114","São Miguel dos Campos","Alagoas","AL","2708600","miguelense","-9.76254690","-36.13281320","61251","360.88","169.7"
"115","São Miguel dos Milagres","Alagoas","AL","2708709","milagrense","-9.26783560","-35.37468350","7951","76.73","103.6"
"116","São Sebastião","Alagoas","AL","2708808","salomeense","-9.95476880","-36.54458050","34152","315.17","108.4"
"117","Satuba","Alagoas","AL","2708907","satubense","-9.57157520","-35.82539900","13828","41.27","335.1"
"118","Senador Rui Palmeira","Alagoas","AL","2708956","rui-palmeirense","-9.47033590","-37.45790360","13870","341.99","40.6"
"119","Tanque d'Arca","Alagoas","AL","2709004","tanquense","-9.56022450","-36.41478890","6162","124.76","49.4"
"120","Taquarana","Alagoas","AL","2709103","taquaranense","-9.62420570","-36.50134140","19980","153.70","130.0"
"121","Teotônio Vilela","Alagoas","AL","2709152","vilelano","-9.90848950","-36.35977480","44169","299.22","147.6"
"122","Traipu","Alagoas","AL","2709202","traipusense","-9.97122350","-37.00367200","27715","686.05","40.4"
"123","União dos Palmares","Alagoas","AL","2709301","palmarino","-9.15963260","-36.02259650","65611","420.72","155.9"
"124","Viçosa","Alagoas","AL","2709400","viçosense","-9.36849600","-36.30645950","25733","371.61","69.2"
