id,cidade,estado,sigla,codigo,gentilico,latitude,longitude,populacao,area,densidade
25,Arapiraca,Alagoas,AL,2700300,arapiraquense,-9.755588,-36.6639577,231747,345.66,670.5
37,Campo Alegre,Alagoas,AL,2701407,campo-alegrense,-9.7831304,-36.3507729,57063,312.71,182.5
46,Coruripe,Alagoas,AL,2702306,coruripense,-10.1250022,-36.1761522,56933,897.78,63.4
48,Delmiro Gouveia,Alagoas,AL,2702405,delmirense,-9.3859509,-37.998877,52016,626.69,83.0
69,Maceió,Alagoas,AL,2704302,maceioense,-9.6498487,-35.7089492,1018948,509.32,2000.6
74,Marechal Deodoro,Alagoas,AL,2704708,deodorense,-9.710143,-35.897056,51901,331.19,156.7
89,Palmeira dos Índios,Alagoas,AL,2706307,palmeirense,-9.4119133,-36.5661908,73218,450.96,162.4
95,Penedo,Alagoas,AL,2706703,penedense,-10.2878675,-36.5822391,63683,689.88,92.3
105,Rio Largo,Alagoas,AL,2707701,rio-larguense,-9.5106567,-35.8122531,75120,293.82,255.7
114,São Miguel dos Campos,Alagoas,AL,2708600,miguelense,-9.7625469,-36.1328132,61251,360.88,169.7
123,União dos Palmares,Alagoas,AL,2709301,palmarino,-9.1596326,-36.0225965,65611,420.72,155.9
209,Alagoinhas,Bahia,BA,2900702,alagoinhense,-12.1339689,-38.4211223,151596,707.56,214.3
227,Araci,Bahia,BA,2902104,araciense,-11.3393515,-38.9586554,54379,1495.55,36.4
235,Barra,Bahia,BA,2902708,barrense,-11.0897577,-43.1390524,53578,11422.54,4.7
240,Barreiras,Bahia,BA,2903201,barreirense,-12.1477483,-44.9953475,155439,7859.72,19.8
249,Bom Jesus da Lapa,Bahia,BA,2903904,lapense,-13.2513786,-43.4112394,69148,4115.51,16.8
258,Brumado,Bahia,BA,2904605,brumadense,-14.1968614,-41.6809724,67195,2207.61,30.4
267,Caetité,Bahia,BA,2905206,caetiteense,-14.0648657,-42.4858867,50975,2651.54,19.2
272,Camaçari,Bahia,BA,2905701,camaçariense,-12.6971776,-38.3331983,299132,785.34,380.9
275,Campo Formoso,Bahia,BA,2906006,campo-formosense,-10.1914246,-40.7969149,71206,7161.83,9.9
280,Candeias,Bahia,BA,2906501,candeense,-12.6720059,-38.5474917,87076,251.63,346.1
291,Casa Nova,Bahia,BA,2907202,casa-novense,-9.1756152,-40.9734426,71969,9647.07,7.5
294,Catu,Bahia,BA,2907509,catuense,-12.3713805,-38.3852123,54704,426.96,128.1
304,Conceição do Coité,Bahia,BA,2908408,coiteense,-11.5576676,-39.2791011,66612,1015.25,65.6
318,Cruz das Almas,Bahia,BA,2909802,cruz-almense,-12.6735557,-39.1016848,63239,139.12,454.6
321,Dias d'Ávila,Bahia,BA,2910057,diasdavilense,-12.6191964,-38.2929948,81089,184.23,440.2
329,Euclides da Cunha,Bahia,BA,2910701,euclidense,-10.5082596,-39.0156074,60585,1992.64,30.4
330,Eunápolis,Bahia,BA,2910727,eunapolitano,-16.3719941,-39.5825118,113380,1425.97,79.5
333,Feira de Santana,Bahia,BA,2910800,feirense,-12.2597272,-38.9646608,614872,1304.43,471.4
345,Guanambi,Bahia,BA,2911709,guanambiense,-14.2235167,-42.7803335,84481,1272.37,66.4
366,Ilhéus,Bahia,BA,2913606,ilheuense,-14.7931916,-39.0464023,162327,1588.56,102.2
370,Ipirá,Bahia,BA,2914000,ipiraense,-12.1571052,-39.7400824,59595,3105.28,19.2
376,Irecê,Bahia,BA,2914604,ireceense,-11.303555,-41.8561503,72967,319.17,228.6
378,Itaberaba,Bahia,BA,2914703,itaberabense,-12.5245553,-40.3061968,64489,2386.39,27.0
379,Itabuna,Bahia,BA,2914802,itabunense,-14.7880327,-39.2784178,213223,401.03,531.7
388,Itamaraju,Bahia,BA,2915601,itamarajuense,-17.0382224,-39.5389741,64486,2360.29,27.3
396,Itapetinga,Bahia,BA,2916401,itapetinguense,-15.2475119,-40.2509918,76147,1651.16,46.1
410,Jacobina,Bahia,BA,2917508,jacobinense,-11.1816506,-40.5120603,80518,2192.9,36.7
411,Jaguaquara,Bahia,BA,2917607,jaguaquarense,-13.5281974,-39.9695429,54423,924.74,58.9
415,Jequié,Bahia,BA,2918001,jequieense,-13.8590328,-40.0837506,155966,2969.03,52.5
420,Juazeiro,Bahia,BA,2918407,juazeirense,-9.4167977,-40.503516,216707,6721.24,32.2
433,Lauro de Freitas,Bahia,BA,2919207,lauro-freitense,-12.8820575,-38.3148204,198440,57.66,3441.3
437,Luís Eduardo Magalhães,Bahia,BA,2919553,luiseduardense,-12.0904542,-45.7805375,87519,3940.54,22.2
496,Paulo Afonso,Bahia,BA,2924009,paulo-afonsino,-9.4061251,-38.2163717,117782,1545.19,76.2
513,Porto Seguro,Bahia,BA,2925303,porto-segurense,-16.4443537,-39.0653656,148686,2285.76,65.0
529,Ribeira do Pombal,Bahia,BA,2926608,pombalense,-10.8365146,-38.5439246,53807,1177.45,45.7
551,Santo Amaro,Bahia,BA,2928604,santo-amarense,-12.5465375,-38.7110678,60069,489.32,122.8
552,Santo Antônio de Jesus,Bahia,BA,2928703,santo-antoniense,-12.9698503,-39.2617368,101512,261.74,387.8
553,Santo Estêvão,Bahia,BA,2928802,santo-estevense,-12.4284443,-39.2509155,52850,360.33,146.7
572,Senhor do Bonfim,Bahia,BA,2930105,bonfinense,-10.459783,-40.1868956,79015,789.36,100.1
577,Serrinha,Bahia,BA,2930501,serrinhense,-11.6577666,-39.0094642,80861,583.31,138.6
