id,cidade,estado,sigla,codigo,gentilico,latitude,longitude,populacao,area,densidade
6,Cruzeiro do Sul,Acre,AC,1200203,cruzeirense,-7.6280405,-72.6761608,88376,8779.4,10.1
16,Rio Branco,Acre,AC,1200401,rio-branquense,-9.9753837,-67.824918,407319,8834.94,46.1
144,Coari,Amazonas,AM,1301209,coariense,-4.0945957,-63.1446032,85097,57970.77,1.5
150,Humaitá,Amazonas,AM,1301704,humaitaense,-7.5169578,-63.0298013,55080,33111.14,1.7
153,Itacoatiara,Amazonas,AM,1301902,itacoatiarense,-3.3339824,-58.5543821,101337,8891.91,11.4
160,Manacapuru,Amazonas,AM,1302504,manacapuruense,-3.2897192,-60.6319066,97377,7336.58,13.3
163,Manicoré,Amazonas,AM,1302702,manicoreense,-5.8116004,-61.2915104,55751,48315.02,1.2
165,Maués,Amazonas,AM,1302900,maueense,-5.3064879,-58.1892921,63905,39991.07,1.6
170,Parintins,Amazonas,AM,1303403,parintinense,-2.6377821,-56.7295415,114273,5956.05,19.2
180,Tabatinga,Amazonas,AM,1304062,tabatinguense,-4.2316306,-69.936928,65844,3266.06,20.2
182,Tefé,Amazonas,AM,1304203,tefeense,-3.3514753,-64.7148236,59849,23692.22,2.5
192,Laranjal do Jari,Amapá,AP,1600279,laranjalense,1.0943041,-53.2180495,50410,30783.0,1.6
193,Macapá,Amapá,AP,1600303,macapaense,0.0355735,-51.070535,503327,6563.85,76.7
199,Santana,Amapá,AP,1600600,santanenses,0.0728284,-51.4421328,121364,1541.22,78.7
889,Águas Lindas de Goiás,Goiás,GO,5200258,águas lindense,-15.7460358,-48.299098,212440,192.39,1104.2
898,Anápolis,Goiás,GO,5201108,anapolino,-16.328546,-48.953403,386923,933.16,414.6
901,Aparecida de Goiânia,Goiás,GO,5201405,aparecidense,-16.820257,-49.2473044,578179,278.54,2075.8
930,Caldas Novas,Goiás,GO,5204508,caldense,-17.7006127,-48.598804,91162,1608.44,56.7
941,Catalão,Goiás,GO,5205109,catalano,-18.1661375,-47.944531,108823,3821.46,28.5
947,Cidade Ocidental,Goiás,GO,5205497,ocidentalense,-16.0980098,-47.936661,71376,390.96,182.6
953,Cristalina,Goiás,GO,5206206,cristalinense,-16.7681003,-47.613588,58997,6163.81,9.6
971,Formosa,Goiás,GO,5208004,formosense,-15.5404411,-47.3374297,121617,5813.64,20.9
976,Goianésia,Goiás,GO,5208608,goianesiense,-15.3122723,-49.1166441,70084,1547.27,45.3
992,Inhumas,Goiás,GO,5210000,inhumense,-16.3615082,-49.500561,52866,615.28,85.9
1006,Itumbiara,Goiás,GO,5211503,itumbiarense,-18.4097245,-49.2162908,104742,2464.51,42.5
1009,Jaraguá,Goiás,GO,5211800,jaraguense,-15.7533891,-49.3348795,50511,1849.55,27.3
1010,Jataí,Goiás,GO,5211909,jataiense,-17.8796049,-51.7206735,100882,7174.23,14.1
1017,Luziânia,Goiás,GO,5212501,luzianiense,-16.2514682,-47.9178219,208299,3961.1,52.6
1026,Mineiros,Goiás,GO,5213103,mineirense,-17.5624415,-52.5489206,66801,9038.78,7.4
1049,Novo Gama,Goiás,GO,5215231,novo-gamense,-16.1418779,-48.0605108,115711,194.59,594.7
1069,Planaltina,Goiás,GO,5217609,planaltinense,-15.4525008,-47.6093162,89918,2550.52,35.3
1076,Quirinópolis,Goiás,GO,5218508,quirinopolino,-18.4476442,-50.4551598,50065,3789.08,13.2
1080,Rio Verde,Goiás,GO,5218805,rio-verdense,-17.7927442,-50.9196623,235647,8386.83,28.1
1095,Santo Antônio do Descoberto,Goiás,GO,5219753,descobertense,-15.9416979,-48.2581886,74744,945.65,79.0
1106,Senador Canedo,Goiás,GO,5220454,canedense,-16.6948713,-49.1019233,115371,248.29,464.7
1115,Trindade,Goiás,GO,5221403,trindadense,-16.6521596,-49.4931169,127599,710.33,179.6
1123,Valparaíso de Goiás,Goiás,GO,5221858,valparaisense,-16.0655297,-47.9761119,168468,60.95,2764.0
2224,Corumbá,Mato Grosso do Sul,MS,5003207,corumbaense,-19.0081688,-57.6515503,111435,64721.72,1.7
2230,Dourados,Mato Grosso do Sul,MS,5003702,douradense,-22.2272034,-54.8291259,222949,4086.24,54.6
2251,Naviraí,Mato Grosso do Sul,MS,5005707,naviraiense,-23.062277,-54.1999693,54878,3193.55,17.2
2254,Nova Andradina,Mato Grosso do Sul,MS,5006200,nova-andradinense,-22.2385546,-53.3442543,54374,4776.0,11.4
2260,Ponta Porã,Mato Grosso do Sul,MS,5006606,ponta-poranense,-22.523123,-55.7242526,92526,5330.45,17.4
2271,Sidrolândia,Mato Grosso do Sul,MS,5007901,sidrolandense,-20.9306759,-54.9697524,57665,5286.41,10.9
2276,Três Lagoas,Mato Grosso do Sul,MS,5008305,três-lagoense,-20.7881656,-51.7030882,121388,10206.95,11.9
2280,Alta Floresta,Mato Grosso,MT,5100250,alta-florestense,-9.8764576,-56.085509,51782,8953.19,5.8
2294,Barra do Garças,Mato Grosso,MT,5101803,barra-garcense,-15.8916202,-52.2618826,61012,9079.29,6.7
2297,Cáceres,Mato Grosso,MT,5102504,cacerense,-16.0768867,-57.6822654,94376,24593.12,3.8
2315,Cuiabá,Mato Grosso,MT,5103403,cuiabano (papa peixe),-15.6014109,-56.0978917,612547,3266.54,187.5
2340,Lucas do Rio Verde,Mato Grosso,MT,5105259,luquense,-13.064847,-55.9193214,65534,3675.22,17.8
2380,Primavera do Leste,Mato Grosso,MT,5107040,primaverense,-15.5605187,-54.2950554,62019,5482.07,11.3
2387,Rondonópolis,Mato Grosso,MT,5107602,rondonopolitano,-16.4654526,-54.6387369,232491,4686.62,49.6
2406,Sorriso,Mato Grosso,MT,5107925,sorrisiense,-12.5429239,-55.7215037,90313,9347.56,9.7
2408,Tangará da Serra,Mato Grosso,MT,5107958,tangaraense,-14.6197868,-57.4875563,103750,11601.1,8.9
2415,Várzea Grande,Mato Grosso,MT,5108402,várzea-grandense,-15.646248,-56.1327131,284971,942.57,302.3
2419,Abaetetuba,Pará,PA,1500107,abaetetubense,-1.7222475,-48.8792245,157698,1610.65,97.9
2421,Acará,Pará,PA,1500206,acaraense,-2.0159736,-48.3190276,55591,4343.55,12.8
2424,Alenquer,Pará,PA,1500404,alenquerense,-0.8667864,-54.9611836,56789,23645.45,2.4
2426,Altamira,Pará,PA,1500602,altamirense,-3.1986664,-52.2104006,114594,159533.33,0.7
2428,Ananindeua,Pará,PA,1500800,ananindeuense,-1.3642722,-48.374721,530598,190.45,2786.0
2436,Barcarena,Pará,PA,1501303,barcarenense,-1.5798321,-48.598804,124680,1310.34,95.2
2439,Benevides,Pará,PA,1501501,benevidense,-1.3524989,-48.2592606,62737,187.83,334.0
2442,Bragança,Pará,PA,1501709,bragantino,-1.0616193,-46.7830109,127686,2098.14,60.9
2445,Breu Branco,Pará,PA,1501782,breuense,-3.7709326,-49.5657491,66046,3941.91,16.8
